Program_URL,Program,Degree
https://www.stetson.edu/other/academics/undergraduate/accounting.php,Accounting,BBA
https://www.stetson.edu/other/academics/undergraduate/american-studies.php,American Studies,BA
https://catalog.stetson.edu/undergraduate/arts-sciences/mathematics/applied-mathematics-actuarial-financial/,Applied Mathematics,BS
https://www.stetson.edu/other/academics/undergraduate/aquatic-and-marine-biology.php,Aquatic and Marine Biology,BS
https://www.stetson.edu/other/academics/undergraduate/biochemistry.php,Biochemistry,BS
https://www.stetson.edu/other/academics/undergraduate/biology.php,Biology,BS
https://www.stetson.edu/other/academics/undergraduate/business-administration.php,Business Administration,BBA
https://www.stetson.edu/other/academics/undergraduate/business-flex.php,Business FLEX,BBA
https://www.stetson.edu/other/academics/undergraduate/business-systems-and-analytics.php,Business Systems and Analytics,BBA
https://www.stetson.edu/other/academics/undergraduate/chemistry.php,Chemistry,BS
https://www.stetson.edu/other/academics/undergraduate/communication-and-media-studies.php,Communication and Media Studies,BA
https://www.stetson.edu/other/academics/undergraduate/computer-information-systems.php,Computer Information Systems,BS
https://www.stetson.edu/other/academics/undergraduate/computer-science.php,Computer Science,BS
https://www.stetson.edu/other/academics/undergraduate/cybersecurity.php,Cybersecurity,BS
https://www.stetson.edu/other/academics/undergraduate/digital-arts.php,Digital Arts,BA
https://www.stetson.edu/other/academics/undergraduate/economics-business.php,Economics (Business),BBA
https://www.stetson.edu/other/academics/undergraduate/economics.php,Economics (Arts and Sciences),BS
https://www.stetson.edu/other/academics/undergraduate/education.php,Education,BA
https://www.stetson.edu/other/academics/undergraduate/english.php,English,BA
https://www.stetson.edu/other/academics/undergraduate/entrepreneurship.php,Entrepreneurship,BBA
https://www.stetson.edu/other/academics/undergraduate/environmental-science-and-studies.php,Environmental Science,BS
https://www.stetson.edu/other/academics/undergraduate/environmental-science-and-studies.php,Environmental Studies,BA
https://www.stetson.edu/other/academics/undergraduate/family-enterprise-management.php,Family Enterprise Management,BBA
https://www.stetson.edu/other/academics/undergraduate/finance.php,Finance,BBA
https://www.stetson.edu/other/academics/undergraduate/global-development.php,Global Development,BA
https://www.stetson.edu/other/academics/undergraduate/health-sciences.php,Health Sciences,BS
https://www.stetson.edu/other/academics/undergraduate/history.php,History,BA
https://www.stetson.edu/other/academics/undergraduate/human-resource-management.php,Human Resource Management,BBA
https://www.stetson.edu/other/academics/undergraduate/international-business.php,International Business,BBA
https://www.stetson.edu/other/academics/undergraduate/international-studies.php,International Studies,BA
https://www.stetson.edu/other/academics/undergraduate/management.php,Management,BBA
https://www.stetson.edu/other/academics/undergraduate/marketing.php,Marketing,BBA
https://www.stetson.edu/other/academics/undergraduate/mathematics.php,Mathematics,BS
https://www.stetson.edu/other/academics/undergraduate/molecular-and-cellular-biology.php,Molecular and Cellular Biology,BS
https://catalog.stetson.edu/undergraduate/arts-sciences/museum-curatorial-studies/,Museum and Curatorial Studies,BA
https://www.stetson.edu/other/academics/undergraduate/music.php,Music,BM
https://www.stetson.edu/other/academics/undergraduate/music-bachelor-of-arts-music.php,Music - Bachelor of Arts,BA
https://www.stetson.edu/other/academics/undergraduate/music-composition.php,Music Composition,BM
https://www.stetson.edu/other/academics/undergraduate/music-education.php,Music Education,BME
https://www.stetson.edu/other/academics/undergraduate/music-performance-guitar.php,Music Performance - Guitar,BM
https://www.stetson.edu/other/academics/undergraduate/music-performance-orchestral-instrument.php,Music Performance - Orchestral Instrument,BM
https://www.stetson.edu/other/academics/undergraduate/music-performance-organ.php,Music Performance - Organ,BM
https://www.stetson.edu/other/academics/undergraduate/music-performance-piano.php,Music Performance - Piano,BM
https://www.stetson.edu/other/academics/undergraduate/music-performance-voice.php,Music Performance - Voice,BM
https://www.stetson.edu/other/academics/undergraduate/music-theory.php,Music Theory,BM
https://www.stetson.edu/other/academics/undergraduate/music-combined-with-business.php,Music with Emphasis in Business,BM
https://www.stetson.edu/other/academics/undergraduate/music-with-an-outside-field.php,Music with an Outside Field,BM
https://www.stetson.edu/other/academics/undergraduate/philosophy.php,Philosophy,BA
https://www.stetson.edu/other/academics/undergraduate/physics.php,Physics,BS
https://www.stetson.edu/other/academics/undergraduate/political-science.php,Political Science,BA
https://www.stetson.edu/other/academics/undergraduate/professional-sales.php,Professional Sales,BBA
https://www.stetson.edu/other/academics/undergraduate/psychology.php,Psychology,BS
https://www.stetson.edu/other/academics/undergraduate/public-health.php,Public Health,BS
https://www.stetson.edu/other/academics/undergraduate/public-management.php,Public Management,BS
https://www.stetson.edu/other/academics/undergraduate/religious-studies.php,Religious Studies,BA
https://www.stetson.edu/other/academics/undergraduate/russian-east-european-and-eurasion-studies.php,"Russian, East European and Eurasian Studies",BA
https://www.stetson.edu/other/academics/undergraduate/social-science.php,Social Science,BA
https://www.stetson.edu/other/academics/undergraduate/sociology-and-anthropology.php,Sociology,BA
https://www.stetson.edu/other/academics/undergraduate/art.php,Studio Art,BA
https://www.stetson.edu/other/academics/undergraduate/theatre-arts.php,Theatre Arts,BA
https://www.stetson.edu/other/academics/undergraduate/world-languages-and-cultures.php,World Languages and Cultures,BA
